id,nombre,precio,categoria,descripcion,imagen,stock,disponible,imagen_transparente
prod-00868,ENALAPRIL MALEATO 5MG BLISTER,17000,Cardiovascular y metabólico,ENALAPRIL MALEATO 5MG BLISTER,assets/imagenesmedimentos/reales/prod-00868.png,1,true,false
prod-00432,LOSARTAN 50MG EXPOFARMA 30CAPS,11300,Cardiovascular y metabólico,LOSARTAN 50MG EXPOFARMA 30CAPS,assets/imagenesmedimentos/reales/prod-00432.jpg,4,true,false
prod-00433,ACETAMINOFEN 150MG JARABE 120M,4300,Analgésicos y antiinflamatorios,ACETAMINOFEN 150MG JARABE 120ML LAPROFF,assets/imagenesmedimentos/reales/prod-00433.webp,5,true,false
prod-00896,ACETAMINOFEN 500MG+CAFEINA 65M,50400,Analgésicos y antiinflamatorios,ACETAMINOFEN 500MG+CAFEINA 65M,assets/imagenesmedimentos/reales/prod-00896.jpg,1,true,false
prod-00422,ACETAMINOFEN/CODEINA AG 30MG,40000,Analgésicos y antiinflamatorios,ACETAMINOFEN/CODEINA AG 30MG,assets/imagenesmedimentos/reales/prod-00422.png,2,true,false
prod-00119,CARDIOASPIRINA 100 MG 30 TABLE,53000,Cardiovascular y metabólico,CARDIOASPIRINA 100 MG 30 TABLETAS,assets/imagenesmedimentos/reales/prod-00119.jpg,1,true,false
prod-00124,CARDIOASPIRINA 81 MG 30 TABLET,47200,Cardiovascular y metabólico,CARDIOASPIRINA 81 MG 30 TABLETAS,assets/imagenesmedimentos/reales/prod-00124.jpg,1,true,false
prod-00046,DOLEX JARABE NIÑOS 2+,18200,Analgésicos y antiinflamatorios,DOLEX JARABE NIÑOS 2+,assets/imagenesmedimentos/reales/prod-00046.jpg,2,true,false
prod-00045,DOLEX JARABE NIÑOS 7+,29100,Analgésicos y antiinflamatorios,DOLEX JARABE NIÑOS 7+,assets/imagenesmedimentos/reales/prod-00045.jpg,2,true,false
prod-00581,DOLEX TABLETAS MASTICABLES 2+,160000,Analgésicos y antiinflamatorios,DOLEX TABLETAS MASTICABLES 2+,assets/imagenesmedimentos/reales/prod-00581.jpg,0,false,false
prod-00329,HIOSCINA + DIPIRONA 20MG AMPOL,10100,Gastrointestinal,HIOSCINA + DIPIRONA 20MG AMPOL,assets/imagenesmedimentos/reales/prod-00329.jpg,2,true,false
prod-00244,AMOXICILINA 100ML SUSPENS AG,11200,Antibióticos,AMOXICILINA 100ML SUSPENS AG,assets/imagenesmedimentos/reales/prod-00244.jpg,3,true,false
prod-00490,AMOXICILINA 250MG SUSPENSION G,13800,Antibióticos,AMOXICILINA 250MG SUSPENSION G,assets/imagenesmedimentos/reales/prod-00490.jpg,1,true,false
prod-00245,AMOXICILINA 500MG AG,40000,Antibióticos,AMOXICILINA 500MG AG,assets/imagenesmedimentos/reales/prod-00245.webp,0,false,false
prod-00516,AMOXICILINA POLVO 100ML LA SAN,10200,Antibióticos,AMOXICILINA POLVO 100ML LA SANTE,assets/imagenesmedimentos/reales/prod-00516.jpg,1,true,false
prod-00517,AMOXICILINA POLVO 45ML LA SANT,7000,Antibióticos,AMOXICILINA POLVO 45ML LA SANTE,assets/imagenesmedimentos/reales/prod-00517.jpg,1,true,false
prod-00233,AMOXIDAL DUO 14 COMPRIMIDOS,82000,Antibióticos,AMOXIDAL DUO 14 COMPRIMIDOS,assets/imagenesmedimentos/reales/prod-00233.jpg,2,true,false
prod-00232,AMOXIDAL DUO SUSPENSION 120ML,79000,Antibióticos,AMOXIDAL DUO SUSPENSION 120ML,assets/imagenesmedimentos/reales/prod-00232.jpg,1,true,false
prod-00518,AZITROMICINA 15ML POLVO LA SAN,19300,Antibióticos,AZITROMICINA 15ML POLVO LA SANTE,assets/imagenesmedimentos/reales/prod-00518.jpg,1,true,false
prod-00246,AZITROMICINA 500MG AG,16900,Antibióticos,AZITROMICINA 500MG,assets/imagenesmedimentos/reales/prod-00246.jpg,3,true,false
prod-00248,CEFALEXINA 250 MG SUSPENSION,11900,Antibióticos,CEFALEXINA 250 MG SUSPENSION,assets/imagenesmedimentos/reales/prod-00248.png,1,true,false
prod-00065,CEFALEXINA 500 MG AG TABLETAS,58000,Antibióticos,CEFALEXINA 500 MG AG TABLETAS,assets/imagenesmedimentos/reales/prod-00065.webp,1,true,false
prod-00080,PROCATEC CIPROFLOXACINA 500 MG,10100,Antibióticos,PROCATEC CIPROFLOXACINA 500 MG,assets/imagenesmedimentos/reales/prod-00080.jpg,6,true,false
prod-00496,ADVIL GRIPA MAX 2 CAPSULAS,4200,Antigripales y tos,ADVIL GRIPA MAX 2 CAPSULAS,assets/imagenesmedimentos/reales/prod-00496.webp,17,true,false
prod-00135,ALGODON MOTOCITOS 100G,6000,Insumos y curación médica,ALGODON MOTOCITOS 100G,assets/imagenesmedimentos/reales/prod-00135.jpg,4,true,false
prod-00133,ALGODON MOTOCITOS 25G,3000,Insumos y curación médica,ALGODON MOTOCITOS 25G,assets/imagenesmedimentos/reales/prod-00133.webp,14,true,false
prod-00134,ALGODON MOTOCITOS 50G,4000,Insumos y curación médica,ALGODON MOTOCITOS 50G,assets/imagenesmedimentos/reales/prod-00134.webp,14,true,false
prod-00429,BLOQUEADOR SUNDARK ADULTOS SOB,3600,Maquillaje y cuidado facial/labial,BLOQUEADOR SUNDARK ADULTOS SOBRE 10G,assets/imagenesmedimentos/reales/prod-00429.jpg,8,true,false
prod-00526,DESLORATADINA 5MG 10 TB LAPROF,8200,Alergias y antihistamínicos,DESLORATADINA 5MG 10 TABLETAS LAPROFF,assets/imagenesmedimentos/reales/prod-00526.jpg,2,true,false
prod-00492,DESLORATADINA 5MG GENFAR 10T,31400,Alergias y antihistamínicos,DESLORATADINA 5MG GENFAR 10T,assets/imagenesmedimentos/reales/prod-00492.jpg,1,true,false
prod-00521,DESLORATADINA 60ML JARABE LA S,21600,Alergias y antihistamínicos,DESLORATADINA 60ML JARABE LA SANTE,assets/imagenesmedimentos/reales/prod-00521.jpg,2,true,false
prod-00515,DESLORATADINA JARABE ECAR 60ML,8300,Alergias y antihistamínicos,DESLORATADINA JARABE ECAR 60ML,assets/imagenesmedimentos/reales/prod-00515.jpg,4,true,false
prod-00533,DESLORATADINA KIDS 60ML MEMPHI,9800,Alergias y antihistamínicos,DESLORATADINA KIDS 60ML MEMPHIS,assets/imagenesmedimentos/reales/prod-00533.jpg,1,true,false
prod-00285,DOLEX GRIPA,18700,Analgésicos y antiinflamatorios,DOLEX GRIPA,assets/imagenesmedimentos/reales/prod-00285.jpg,23,true,false
prod-00511,LORATADINA 10MG AG 20 TABLETAS,7600,Alergias y antihistamínicos,LORATADINA 10MG AG 20 TABLETAS,assets/imagenesmedimentos/reales/prod-00511.jpg,2,true,false
prod-00494,LORATADINA JARABE 100ML GENFAR,13600,Alergias y antihistamínicos,LORATADINA JARABE 100ML GENFAR,assets/imagenesmedimentos/reales/prod-00494.jpg,1,true,false
prod-00530,LORATADINA JARABE 100ML LAPROF,6900,Alergias y antihistamínicos,LORATADINA JARABE 100ML LAPROFF,assets/imagenesmedimentos/reales/prod-00530.webp,2,true,false
prod-00295,MIELTERTOS NIÑOS JARABE 180ML,31000,Antigripales y tos,MIELTERTOS NIÑOS JARABE 180ML,assets/imagenesmedimentos/reales/prod-00295.jpg,1,true,false
prod-00126,NOXPIRIN DIA MANDARINA 15G,72000,Antigripales y tos,NOXPIRIN DIA MANDARINA 15G,assets/imagenesmedimentos/reales/prod-00126.jpg,1,true,false
prod-00127,NOXPIRIN JUNIOR JARABE 120ML,19600,Antigripales y tos,NOXPIRIN JUNIOR JARABE 120ML,assets/imagenesmedimentos/reales/prod-00127.webp,3,true,false
prod-00032,NOXPIRIN NOCHE PANELA-LIMON,150000,Antigripales y tos,NOXPIRIN NOCHE PANELA-LIMON 10G,assets/imagenesmedimentos/reales/prod-00032.webp,1,true,false
prod-00357,PAÑITOS HUMEDOS TITOS X100,6700,Bebés y maternidad,PAÑITOS HUMEDOS TITOS X100,assets/imagenesmedimentos/reales/prod-00357.webp,1,true,false
prod-00366,REPELENTE MOSQUITOS OUT 60ML,5900,Dermatológico y piel,REPELENTE MOSQUITOS OUT 60ML,assets/imagenesmedimentos/reales/prod-00366.jpg,1,true,false
prod-00367,REPELENTE MOSQUITOS OUT 65G,6500,Dermatológico y piel,REPELENTE MOSQUITOS OUT 65G,assets/imagenesmedimentos/reales/prod-00367.jpg,1,true,false
prod-00007,VICK 44 EXPECTORANTE ADULTOS J,36600,Antigripales y tos,VICK 44 EXPECTORANTE ADULTOS J,assets/imagenesmedimentos/reales/prod-00007.jpg,2,true,false
prod-00100,DICLOFENACO 75 MG AMPOLLAS,3000,Analgésicos y antiinflamatorios,DICLOFENACO 75 MG AMPOLLAS,assets/imagenesmedimentos/reales/prod-00100.jpg,17,true,false
prod-00110,DORMEX DICLOFENACO 100 MG,52000,Analgésicos y antiinflamatorios,DORMEX DICLOFENACO 100 MG,assets/imagenesmedimentos/reales/prod-00110.jpg,10,true,false
prod-00554,IBUPROFENO 100MG SUSP MK,16200,Analgésicos y antiinflamatorios,IBUPROFENO 100MG SUSPENSION MK NIÑOS,assets/imagenesmedimentos/reales/prod-00554.png,1,true,false
prod-00493,IBUPROFENO SUSPEN GENFAR 120ML,14300,Analgésicos y antiinflamatorios,IBUPROFENO SUSPEN KIDS GENFAR 120ML,assets/imagenesmedimentos/reales/prod-00493.png,1,true,false
